,Unnamed: 0,incident_control,incident_containment,incident_acres_burned,incident_name,calfire_incident,is_active,incident_id,incident_type,County,data_id
1149,1149,,100.0,36.0,Winchester Fire,True,N,e69be637-e9e9-4964-96ed-4d6a1a1c159d,,Riverside,Riverside-2018-08
1150,1150,,100.0,166.0,Fork Fire,False,N,9bffc947-2f15-4486-98df-9a632b2038a7,,Los Angeles,Los Angeles-2018-09
1151,1151,,100.0,60.0,Grade Fire,True,N,c203606a-d2eb-4ba2-97cc-2ee7403432b1,,Napa,Napa-2018-08
1152,1152,,100.0,172.0,Ogilvy Fire,False,N,c9001401-a2b0-4cae-9e03-e60509342a53,,Santa Barbara,Santa Barbara-2018-09
1153,1153,,100.0,15.0,Essex Fire,False,N,e9d48e43-940e-4151-9ffb-20881d03c151,,Modoc,Modoc-2018-09
1154,1154,,100.0,125.0,Sterling,False,N,0683b4a7-6a8c-4339-abc1-dfbe64dcb5a1,,San Bernardino,San Bernardino-2018-08
1155,1155,,100.0,63311.0,Delta Fire,True,N,ba818380-4001-46a2-ac04-d5f322cdf3b9,Wildfire,Shasta,Shasta-2018-09
1156,1156,,100.0,24.0,Kelsey Fire,True,N,1a3ccacd-e743-4a0b-97ab-4d99a133654e,,Lake,Lake-2018-09
1157,1157,,100.0,1120.0,North Fire,False,N,d8235a76-7b43-4e23-8f60-dc308c250fab,,Placer,Placer-2018-09
1158,1158,All road closures have been lifted.,100.0,150.0,Sliger Fire,True,N,94e0a869-04f6-4265-9c1f-c53fbdde98ad,,El Dorado,El Dorado-2018-09
1159,1159,,100.0,13.0,Ranchera Fire,False,N,20b57ee7-b0b7-47db-8a12-e5fcdb114459,,Lake,Lake-2018-09
1160,1160,,100.0,573.0,Tulloch Fire,True,N,849ad1a0-472b-4cc6-a513-030491fa1ffb,,Tuolumne,Tuolumne-2018-09
1161,1161,,100.0,1751.0,Kerlin Fire,False,N,3506eaf5-e815-4a7f-9c52-816fe5eee7d5,,Trinity,Trinity-2018-09
1162,1162,,100.0,6974.0,Boot Fire,False,N,a81f5149-5ac2-48de-a189-609e46f5fad8,,Mono,Mono-2018-09
1163,1163,,100.0,400.0,Metz Fire,True,N,7fc0b9c8-dec7-430d-9790-1bbebae404eb,,Monterey,Monterey-2018-09
1164,1164,,100.0,152.0,Irving Fire,True,N,65689d5f-910c-4e00-9bf3-e5626cd1361c,,Marin,Marin-2018-09
1165,1165,,100.0,200.0,Water Fire,True,N,f694c74c-adad-459c-b357-4cd2f10f16df,,Kern,Kern-2018-09
1166,1166,,100.0,25.0,Soboba Fire,False,N,d5885e9d-1310-4f84-a658-d972d17ecad9,,Riverside,Riverside-2018-09
1167,1167,,100.0,12.0,Meyers Fire,True,N,9ea41d38-ee7c-4394-9ea8-cbf33e788f13,Wildfire,El Dorado,El Dorado-2018-09
1168,1168,,100.0,3380.0,Charlie Fire,False,N,4fa2e1e0-a920-4991-beb6-3c080b6c1500,,Los Angeles,Los Angeles-2018-09
1169,1169,,100.0,360.0,Oak Fire,True,N,6b6dff76-8fab-4852-a71c-e735f87bd6fa,,Madera,Madera-2018-09
1170,1170,,100.0,53.0,Copper Fire,True,N,b9d64431-d96d-413f-84df-ef3b381d3002,,Lassen,Lassen-2018-09
1171,1171,,100.0,261.0,Wilson Fire,False,N,d0ae0a7f-dd7b-4cb1-8f4a-2a784a17d6d4,,Lake,Lake-2018-09
1172,1172,,100.0,76.0,Silver Fire,True,N,b181e69a-5864-44c1-b5b4-f4c5832a4539,,Shasta,Shasta-2018-09
1173,1173,,100.0,30.0,Quimby Fire,True,N,04100255-b014-4a69-92c2-5388c7f9b9d6,,Santa Clara,Santa Clara-2018-09
1174,1174,,100.0,33.0,Nimshew Fire,True,N,9856efb8-4d41-4276-9d4e-a5b29d912996,,Butte,Butte-2018-09
1175,1175,,100.0,80.0,Shandon Fire,True,N,9c03d484-e442-4eaa-8a7b-99d6c769750a,,San Luis Obispo,San Luis Obispo-2018-09
1176,1176,,100.0,53.0,Keenbrook Fire,False,N,2c41731e-1e13-494c-b7f7-928b89bb7d32,,San Bernardino,San Bernardino-2018-09
1177,1177,,100.0,150.0,Nacimiento Fire,False,N,9d69b6cb-1dee-43df-83ca-b2b5485006d7,,Monterey,Monterey-2018-10
1178,1178,,100.0,32.0,Eagle Fire,False,N,8c4b830f-be4f-4469-9448-f0e98ea1d189,,Fresno,Fresno-2018-10
1179,1179,All roads are open.,100.0,3889.0,Sun Fire,True,N,8f633ae7-b5f0-455f-a60e-13d9566e5844,,Tehama,Tehama-2018-10
1180,1180,,100.0,63.0,Park Fire,False,N,f19a49b4-9d0f-4c61-83ea-9b4a741b0bef,,Santa Clara,Santa Clara-2018-10
1181,1181,,100.0,15.0,Iron Gate Fire,True,N,28725d54-51bc-41f9-99ed-aca0396be12a,,Siskiyou,Siskiyou-2018-10
1182,1182,,100.0,160.0,Winters Fire,False,N,e9c8c0aa-4d21-4f09-9858-890ea163d580,,Solano,Solano-2018-10
1183,1183,,100.0,167.0,Priest Fire,True,N,8a79c31d-0df0-4448-a855-b04cfc384825,,Monterey,Monterey-2018-10
1184,1184,,100.0,12.0,Tower Fire,True,N,a8f54d41-fc8c-476c-9122-f1357aa166a0,,Shasta,Shasta-2018-10
1185,1185,,100.0,38.0,Masonic Fire,False,N,83c539f5-64c1-4156-86e5-ac6cf4c947d5,,Shasta,Shasta-2018-10
1186,1186,,100.0,10.0,Powellton Fire,True,N,b8dc21be-0807-4434-9536-45a4a660ed83,,Butte,Butte-2018-10
1187,1187,,100.0,58.0,Camino Fire,True,N,a728d915-1c00-43b6-bd5b-228be34a38fe,,San Luis Obispo,San Luis Obispo-2018-10
1188,1188,,100.0,120.0,Market Fire,True,N,87760805-5b1a-486e-91c4-590557929182,,Tulare,Tulare-2018-10
1189,1189,,100.0,550.0,June Fire,True,N,7ee82e4f-f5e8-4278-b4e7-e82c390b395e,,Butte,Butte-2018-10
1190,1190,,100.0,17.0,Rincon Fire,True,N,7d1f523d-6940-4b64-bc5a-7ecb5a63538a,,Santa Cruz,Santa Cruz-2018-11
1191,1191,,100.0,35.0,Brushy Fire,True,N,10d67079-faa9-4034-a4d7-8346b450e7de,,Mendocino,Mendocino-2018-11
1192,1192,See Incident Update,100.0,153336.0,Camp Fire,True,N,75dafe80-f18a-4a4a-9a37-4b564c5f6014,Wildfire,Butte,Butte-2018-11
1193,1193,,100.0,60.0,Adams Fire,True,N,8030a870-0453-48e0-b243-86dbae075434,,Tehama,Tehama-2018-11
1194,1194,,100.0,88.0,Horn Fire,False,N,79968306-21a9-465e-acbe-4ea715c70ab5,,Lassen,Lassen-2018-11
1195,1195,,100.0,1500.0,Nurse Fire,False,N,b8fe54be-15a8-4088-b0bb-16992df93a7e,,Solano,Solano-2018-11
1196,1196,,100.0,4531.0,Hill Fire,True,N,bc95da49-28a0-4e56-88d9-72e7455063c0,Wildfire,Ventura,Ventura-2018-11
1197,1197,,100.0,96949.0,Woolsey Fire,True,N,92d7aeea-7abf-47a4-bf76-a4fe0fac65c6,Wildfire,Ventura,Ventura-2018-11
1198,1198,,100.0,30.0,Pilot Fire,True,N,6004d3e5-66f8-487a-80a4-689d3852378c,,Humboldt,Humboldt-2019-01
1199,1199,,100.0,0.0,Honey Flooding,True,N,e6b8af54-15fb-42bb-8be9-f323c9d5cc78,Flood,Butte,Butte-2018-11
1200,1200,,100.0,20.0,Morgan Fire,True,N,e83e7346-5b83-4e3a-845c-867fd84d17f0,,Contra Costa,Contra Costa-2018-11
1201,1201,,100.0,10.0,Green Hill Fire,True,N,116fabb6-7440-4d6d-aa89-668989c028db,,Humboldt,Humboldt-2018-11
1202,1202,,100.0,147.0,Sierra Fire,False,N,d18da394-5ed4-4004-8dea-600e15d398e4,,San Bernardino,San Bernardino-2018-11
