,incident_latitude,incident_longitude,incident_dateonly_created,incident_control,incident_containment,incident_acres_burned,incident_county,incident_name,calfire_incident,is_active,incident_id,incident_type,County
1149,33.640051,-117.08535400000001,2018-08-27,,100.0,36.0,Riverside,Winchester Fire,True,N,e69be637-e9e9-4964-96ed-4d6a1a1c159d,,Riverside
1150,34.2325,-117.84611100000001,2018-09-09,,100.0,166.0,Los Angeles,Fork Fire,False,N,9bffc947-2f15-4486-98df-9a632b2038a7,,Los Angeles
1151,38.8275,-122.3625,2018-08-30,,100.0,60.0,Lake,Grade Fire,True,N,c203606a-d2eb-4ba2-97cc-2ee7403432b1,,Napa
1152,34.576944,-119.61416000000001,2018-09-01,,100.0,172.0,Santa Barbara,Ogilvy Fire,False,N,c9001401-a2b0-4cae-9e03-e60509342a53,,Santa Barbara
1153,41.521229999999996,-120.72362,2018-09-02,,100.0,15.0,Modoc,Essex Fire,False,N,e9d48e43-940e-4151-9ffb-20881d03c151,,Modoc
1154,34.15475,-117.24436599999999,2018-08-31,,100.0,125.0,San Bernardino,Sterling,False,N,0683b4a7-6a8c-4339-abc1-dfbe64dcb5a1,,San Bernardino
1155,40.9425,-122.43,2018-09-05,,100.0,63311.0,"Shasta, Trinity",Delta Fire,True,N,ba818380-4001-46a2-ac04-d5f322cdf3b9,Wildfire,Shasta
1156,38.918420000000005,-122.85276,2018-09-03,,100.0,24.0,Lake,Kelsey Fire,True,N,1a3ccacd-e743-4a0b-97ab-4d99a133654e,,Lake
1157,39.268611,-120.65833300000001,2018-09-03,,100.0,1120.0,Placer,North Fire,False,N,d8235a76-7b43-4e23-8f60-dc308c250fab,,Placer
1158,38.94388,-120.92611000000001,2018-09-04,All road closures have been lifted.,100.0,150.0,El Dorado,Sliger Fire,True,N,94e0a869-04f6-4265-9c1f-c53fbdde98ad,,El Dorado
1159,40.678889,-122.40055600000001,2018-09-04,,100.0,13.0,Shasta,Ranchera Fire,False,N,20b57ee7-b0b7-47db-8a12-e5fcdb114459,,Lake
1160,37.83388,-120.61746000000001,2018-09-08,,100.0,573.0,Tuolumne,Tulloch Fire,True,N,849ad1a0-472b-4cc6-a513-030491fa1ffb,,Tuolumne
1161,40.616251,-123.52018999999999,2018-09-04,,100.0,1751.0,Trinity,Kerlin Fire,False,N,3506eaf5-e815-4a7f-9c52-816fe5eee7d5,,Trinity
1162,38.347395,-119.45186000000001,2018-09-04,,100.0,6974.0,Mono,Boot Fire,False,N,a81f5149-5ac2-48de-a189-609e46f5fad8,,Mono
1163,36.35502,-121.1563,2018-09-13,,100.0,400.0,Monterey,Metz Fire,True,N,7fc0b9c8-dec7-430d-9790-1bbebae404eb,,Monterey
1164,38.02447,-122.727,2018-09-10,,100.0,152.0,Marin,Irving Fire,True,N,65689d5f-910c-4e00-9bf3-e5626cd1361c,,Marin
1165,34.91482,-118.92485,2018-09-12,,100.0,200.0,Kern,Water Fire,True,N,f694c74c-adad-459c-b357-4cd2f10f16df,,Kern
1166,33.80406,-116.93188,2018-09-14,,100.0,25.0,Riverside,Soboba Fire,False,N,d5885e9d-1310-4f84-a658-d972d17ecad9,,Riverside
1167,38.7448,-120.65671999999999,2018-09-20,,100.0,12.0,El Dorado,Meyers Fire,True,N,9ea41d38-ee7c-4394-9ea8-cbf33e788f13,Wildfire,El Dorado
