,incident_latitude,incident_longitude,date,temperature (degC),wind_speed (m/s),total_precipitation (mm of water equivalent),relative_humidity (0-1),surface_pressure (Pa),humidex (degC),County,latitude,longitude,y,month,year
Kern-2017-11,0.0,0.0,2017-11,9.349333333333336,2.0053333333333336,0.05633333333333334,0.6853333333333332,98987.70300000001,8.565666666666665,Kern,34.60121770855763,-119.11554193023626,False,11,2017
Kern-2017-12,0.0,0.0,2017-12,4.758064516129032,2.084838709677419,0.08387096774193549,0.6129032258064516,98923.22870967742,2.4287096774193544,Kern,36.04328358622391,-118.29526393012769,False,12,2017
Kern-2018-01,0.0,0.0,2018-01,2.541612903225807,2.50258064516129,0.11,0.5890322580645163,99313.32258064515,-0.03774193548387031,Kern,35.22740000752242,-119.52140516853281,False,01,2018
Kern-2018-02,0.0,0.0,2018-02,10.234285714285717,2.2278571428571428,0.1828571428571428,0.7550000000000001,99310.6725,10.550714285714287,Kern,35.579515746988434,-118.70485469400563,False,02,2018
Kern-2018-03,0.0,0.0,2018-03,7.625483870967741,2.8425806451612905,0.14967741935483872,0.5729032258064516,98558.49322580645,5.56258064516129,Kern,35.731263070898784,-118.97955656724609,False,03,2018
Kern-2018-04,0.0,0.0,2018-04,13.902000000000005,2.602,0.17766666666666667,0.5863333333333334,98587.05933333332,13.713333333333335,Kern,35.59153906185624,-118.13207816943057,False,04,2018
Kern-2018-05,0.0,0.0,2018-05,22.748709677419356,2.0622580645161293,0.16677419354838713,0.7303225806451613,98706.48677419352,28.608709677419352,Kern,34.589808190866776,-119.45287169798245,False,05,2018
Kern-2018-10,0.0,0.0,2018-10,16.13741935483871,2.082903225806452,0.2090322580645161,0.7596774193548386,98804.55677419354,19.101935483870964,Kern,34.450878224069044,-118.77558432053986,False,10,2018
Kern-2018-11,0.0,0.0,2018-11,7.841999999999998,2.3033333333333337,0.21066666666666664,0.7410000000000001,98834.93333333332,6.973666666666665,Kern,35.177482641744014,-119.32247866234961,False,11,2018
Kern-2018-12,0.0,0.0,2018-12,6.438064516129033,2.182903225806452,0.2335483870967741,0.7509677419354837,98838.34677419352,5.210322580645162,Kern,34.87103246412234,-118.63321430270669,False,12,2018
Kern-2019-01,0.0,0.0,2019-01,4.409354838709677,2.0993548387096768,0.14838709677419354,0.6570967741935483,98890.94806451614,2.195806451612903,Kern,35.329687687467036,-119.24939002223921,False,01,2019
Kern-2019-02,0.0,0.0,2019-02,8.318928571428572,2.135,0.205,0.6896428571428571,98998.07392857142,7.130357142857143,Kern,35.90083205695291,-118.40238276563457,False,02,2019
Kern-2019-03,0.0,0.0,2019-03,8.941935483870967,2.3558064516129043,0.08322580645161289,0.5483870967741935,98987.74903225807,7.058064516129033,Kern,36.17479308475185,-119.70852794695705,False,03,2019
Kern-2019-04,0.0,0.0,2019-04,16.948666666666664,2.515,0.15233333333333332,0.6496666666666665,98598.46866666668,18.67,Kern,35.68970290745902,-118.24640557449081,False,04,2019
